"","id","date","cluster"
"778",10,2016-12-14,9
"779",10,2016-12-15,5
"780",10,2016-12-16,5
"781",10,2016-12-17,7
"782",10,2016-12-18,10
"783",10,2016-12-19,5
"784",10,2016-12-20,9
"785",10,2016-12-21,5
"786",10,2016-12-22,5
"787",10,2016-12-23,5
"788",10,2016-12-24,1
"789",10,2016-12-25,5
"790",10,2016-12-26,3
"791",10,2016-12-27,5
"792",10,2016-12-28,3
"793",10,2016-12-29,5
"794",10,2016-12-30,5
"795",10,2017-01-02,6
"796",10,2017-01-03,5
"797",10,2017-01-04,3
"798",10,2017-01-05,9
"799",10,2017-01-06,5
"800",10,2017-01-07,5
"801",10,2017-01-08,5
"802",10,2017-01-09,10
"803",10,2017-01-10,9
"804",10,2017-01-11,5
"805",10,2017-01-12,5
"806",10,2017-01-13,10
"807",10,2017-01-14,6
"808",10,2017-01-15,8
"809",10,2017-01-16,10
"810",10,2017-01-17,9
"811",10,2017-01-18,9
"812",10,2017-01-19,9
"813",10,2017-01-20,9
"814",10,2017-01-21,5
"815",10,2017-01-22,6
"816",10,2017-01-23,6
"817",10,2017-01-24,5
"818",10,2017-01-25,5
"819",10,2017-01-26,9
"820",10,2017-01-27,1
"821",10,2017-01-28,5
"822",10,2017-01-29,5
"823",10,2017-01-30,9
"824",10,2017-01-31,5
"825",11,2017-04-02,10
"826",11,2017-04-03,1
"827",11,2017-04-04,6
"828",11,2017-04-05,5
"829",11,2017-04-06,8
"830",11,2017-04-07,8
"831",11,2017-04-08,6
"832",11,2017-04-09,10
"833",11,2017-04-10,6
"834",11,2017-04-11,8
"835",11,2017-04-12,8
"836",11,2017-04-13,8
"837",11,2017-04-14,8
"838",11,2017-04-15,3
"839",11,2017-04-16,10
"840",11,2017-04-17,10
"841",11,2017-04-18,10
"842",11,2017-04-19,8
"843",11,2017-04-20,10
"844",11,2017-04-21,10
"845",11,2017-04-22,7
"846",11,2017-04-23,6
"847",11,2017-04-24,6
"848",11,2017-04-25,6
"849",11,2017-04-26,8
"850",11,2017-04-27,8
"851",11,2017-04-28,8
"852",11,2017-04-29,2
"853",11,2017-04-30,8
"854",12,2016-10-02,6
"855",12,2016-10-03,6
"856",12,2016-10-04,10
"857",12,2016-10-05,6
"858",12,2016-10-06,10
"859",12,2016-10-07,10
"860",12,2016-10-08,10
"861",12,2016-10-09,10
"862",12,2016-10-10,10
"863",12,2016-10-11,6
"864",12,2016-10-12,10
"865",12,2016-10-13,10
"866",12,2016-10-14,6
"867",12,2016-10-15,10
"868",12,2016-10-16,6
"869",12,2016-10-17,10
"870",12,2016-10-18,10
"871",12,2016-10-19,6
"872",12,2016-10-20,10
"873",12,2016-10-21,6
"874",12,2016-10-22,5
"875",12,2016-10-23,2
"876",12,2016-10-24,3
"877",12,2016-10-25,10
"878",12,2016-10-26,5
"879",12,2016-10-27,10
"880",12,2016-10-28,10
"881",12,2016-10-29,9
"882",12,2016-10-30,10
"883",12,2016-10-31,10
"884",12,2016-11-01,10
"885",12,2016-11-02,10
"886",12,2016-11-03,10
"887",12,2016-11-04,10
"888",12,2016-11-07,10
"889",12,2016-11-10,10
"890",12,2016-11-11,10
"891",12,2016-11-12,6
"892",12,2016-11-13,7
"893",12,2016-11-14,10
"894",12,2016-11-15,10
"895",12,2016-11-16,10
"896",12,2016-11-17,10
"897",12,2016-11-18,10
"898",12,2016-11-19,6
"899",12,2016-11-20,1
"900",12,2016-11-21,10
"901",12,2016-11-22,3
"902",12,2016-11-23,10
"903",12,2016-11-24,10
"904",12,2016-11-25,10
"905",12,2016-11-26,9
"906",12,2016-11-29,10
"907",12,2016-11-30,10
"908",12,2016-12-01,6
"909",12,2016-12-02,10
"910",12,2016-12-03,5
"911",12,2016-12-04,10
"912",12,2016-12-05,10
"913",12,2016-12-06,6
"914",12,2016-12-07,10
"915",12,2016-12-08,1
"916",12,2016-12-09,6
"917",12,2016-12-10,6
"918",12,2016-12-11,10
"919",12,2016-12-12,10
"920",12,2016-12-13,10
"921",12,2016-12-14,1
"922",12,2016-12-15,10
"923",12,2016-12-16,10
"924",12,2016-12-20,10
"925",12,2016-12-21,10
"926",12,2016-12-22,10
"927",12,2016-12-23,7
"928",12,2016-12-24,3
"929",12,2016-12-25,1
"930",12,2016-12-26,3
"931",12,2016-12-27,10
"932",12,2016-12-28,2
"933",12,2016-12-29,10
"934",12,2016-12-30,5
"935",12,2017-01-02,6
"936",12,2017-01-03,7
"937",12,2017-01-04,10
"938",12,2017-01-05,10
"939",12,2017-01-06,10
"940",12,2017-01-07,10
"941",12,2017-01-08,3
"942",12,2017-01-09,10
"943",12,2017-01-10,10
"944",12,2017-01-11,10
"945",12,2017-01-12,6
"946",12,2017-01-13,3
"947",12,2017-01-14,8
"948",12,2017-01-17,10
"949",12,2017-01-18,3
"950",12,2017-01-19,10
"951",12,2017-01-20,10
"952",12,2017-01-21,6
"953",12,2017-01-22,2
"954",12,2017-01-23,10
"955",12,2017-01-24,3
"956",12,2017-01-25,9
"957",12,2017-01-26,7
"958",12,2017-01-27,5
"959",12,2017-01-28,5
"960",12,2017-01-29,9
"961",12,2017-01-30,6
"962",12,2017-01-31,3
"963",13,2016-11-03,3
"964",13,2016-11-04,5
"965",13,2016-11-05,1
"966",13,2016-11-06,9
"967",13,2016-11-07,5
"968",13,2016-11-10,3
"969",13,2016-11-11,5
"970",13,2016-11-12,3
"971",13,2016-11-13,3
"972",13,2016-11-14,6
"973",13,2016-11-15,3
"974",13,2016-11-16,3
"975",13,2016-11-17,3
"976",13,2016-11-18,5
"977",13,2016-11-19,5
"978",13,2016-11-20,2
"979",13,2016-11-21,6
"980",13,2016-11-22,3
"981",13,2016-11-23,3
"982",13,2016-11-24,1
"983",13,2016-11-25,6
"984",13,2016-11-26,1
"985",13,2016-11-29,3
"986",13,2016-11-30,10
"987",13,2016-12-01,3
"988",13,2016-12-02,5
"989",13,2016-12-03,5
"990",13,2016-12-04,2
"991",13,2016-12-05,6
"992",13,2016-12-06,3
"993",13,2016-12-07,3
"994",13,2016-12-08,3
"995",13,2016-12-09,6
"996",13,2016-12-10,5
